User_Id,Created_at,Country_code,State,Latitude,Longitude,Tweet_text,Sentiment_compound,Overall_sentiment
1275490633847836673,2020-06-23 18:07:19,US,Texas,29.7589382,-95.3676974,So just found out that Wells Fargo 8607 on westheimer rd had an employee test positive for COVID 19 and are still making,0.6808,Positive
1275490634615459842,2020-06-23 18:07:19,US,Michigan,42.4347571,-83.9849477,Can you still get like regular sick or is every thing corona,-0.2023,Negative
1275490635009662978,2020-06-23 18:07:19,US,Maryland,39.5162234,-76.9382069,Dr Anthony Fauci said he is cautiously optimistic that there will be a COVID 19 vaccine by the end of the year or early 2021 an,0.3182,Positive
1275490635202658305,2020-06-23 18:07:19,GB,England,54.7023545,-3.2765753,Not following the science it s a massive political gamble wealth versus health Many scientists believe it s,0.4939,Positive
1275490636448313344,2020-06-23 18:07:19,GB,England,54.7023545,-3.2765753,The Scottish and Welsh devolved administrations responses throughout lockdown have been pathetic Opposition for opposit,-0.5719,Negative
1275490636792074240,2020-06-23 18:07:19,AZ,Ucar,40.3936294,47.7872508,1 in COVID 19 cases in America 48th in education Our police officers are known to be some of the most violent in the c,-0.6361,Negative
1275490636993462274,2020-06-23 18:07:19,IN,Telangana,17.38878595,78.46106473453146,Watch this video comeback and share your feeling by mentioning amp Rajender Coro,0.4019,Positive
1275490637584818177,2020-06-23 18:07:20,PH,Mimaropa,12.7503486,122.7312101,so bts did not only donate 1M to blm but they also donated 2M to yemen and saved 340 000 kids AND they donated another,0.5719,Positive
1275490638008659968,2020-06-23 18:07:20,US,Florida,27.7567667,-81.4639835,Phase 4 is literally the We re actually going to ignore COVID 19 from this point on phase,-0.3612,Negative
1275490638633619464,2020-06-23 18:07:20,US,Oklahoma,36.1556805,-95.9929113,Medicare data Blacks likelier to be hospitalized for COVID 19,0.0,Neutral
1275490639740690435,2020-06-23 18:07:20,US,Colorado,38.7251776,-105.6077167,Dear amp If you are going to lie to the American people about what actually said you sh,0.3818,Positive
1275490640122359808,2020-06-23 18:07:20,US,Washington,46.7204489,-122.9614303,Bullshit they were closed by recists who want to deny the black voters their rights as citizens,-0.7096,Negative
1275490640466493440,2020-06-23 18:07:20,US,Virginia,38.8903961,-77.0841585,Again it was not a joke It was a confession This virus has killed more than 120 000 Americans and cost tens of milli,-0.7497,Negative
1275490641393393669,2020-06-23 18:07:21,GB,England,54.7023545,-3.2765753,This is why Wales still has the strictest lockdown in the UK This map shows the number of cases per 100 000 in each local,0.0772,Positive
